question,expected_answer,model_a_answer,model_b_answer,a_exact_match,b_exact_match,a_keyword_match,b_keyword_match,a_length_difference,b_length_difference,a_llm_judge,b_llm_judge
What does PDF stand for?,Portable Document Format.,Portable Document Format,PDF stands for **Portable Document Format**.,0,0,1.0,1.0,0.0,1.0,5,5
Who developed the PDF format?,Adobe Systems.,Adobe Systems,Adobe Systems.,0,1,1.0,1.0,0.0,0.0,5,5
What is the primary purpose of PDF?,To preserve document formatting across different platforms and devices.,The primary purpose of PDF is to present documents consistently across all platforms and devices.,To enable documents to be shared and viewed consistently across different platforms and devices.,0,0,0.556,0.667,0.667,0.556,5,5
Which ISO standard defines PDF 2.0?,ISO 32000-2.,ISO 32000-2,ISO 32000‑2.,0,0,1.0,1.0,0.0,0.0,5,5
What are the main components of a PDF document?,"Objects, cross-reference table, trailer, and document catalog.","A PDF file consists of four main components: a header, a body, a cross-reference table, and a trailer.","The main components of a PDF document are:

- **Header** – identifies the PDF version  
- **Body** – contains the document objects  
- **Cross‑reference table** – maps object locations  
- **Trailer** – points to the cross‑reference table and the root object",0,0,0.625,0.875,1.571,4.857,4,4
Why are fonts embedded in a PDF?,To ensure documents display consistently even when the required fonts are not installed.,Fonts are embedded in a PDF to ensure that documents render identically regardless of the fonts installed on the viewer's system.,"Fonts are embedded so the PDF renders identically on any system, regardless of which fonts are installed on the viewer’s computer.",0,0,0.538,0.308,0.615,0.615,5,5
What types of objects can a PDF contain?,"Text, images, fonts, annotations, forms, and multimedia.","Page dictionaries, font resources, image streams, annotation dictionaries, and the document catalog.","A PDF can contain objects such as **page dictionaries, font resources, image streams, annotation dictionaries, and the document catalog**.",0,0,0.143,0.143,0.714,1.714,3,3
What is the role of the cross-reference table?,It stores the locations of PDF objects for fast access.,The cross-reference table maps object locations in a PDF file.,The cross‑reference table maps the locations of objects within the PDF file.,0,0,0.3,0.5,0.0,0.2,5,5
What is the purpose of the PDF trailer?,It points to the cross-reference table and the document catalog.,The trailer points to the cross-reference table and root object.,The trailer points to the cross‑reference table and the PDF’s root object.,0,0,0.7,0.7,0.0,0.2,5,5
Why is PDF considered platform independent?,Because it preserves layout and appearance across different operating systems and software.,"PDF is considered platform-independent because it embeds fonts, images, and layout information directly in the file, ensuring that documents render consistently across different devices and operating systems.","PDF is platform‑independent, meaning it renders consistently across all devices and operating systems.",0,0,0.727,0.455,1.25,0.083,5,5
What is an indirect object in a PDF?,A reusable object stored separately and referenced by other objects.,Not found in document.,Not found in document.,0,0,0.0,0.0,0.6,0.6,1,1
How are images stored inside a PDF?,As image objects with compressed data streams.,Not found in document.,"Images are kept as **image‑stream objects** in the PDF body. These streams are referenced by the page’s content streams and can be compressed with filters such as **DCTDecode** (JPEG), **JBIG2Decode** (bilevel), **JPXDecode** (JPEG 2000), or other compression methods.",0,0,0.0,0.857,0.429,4.429,1,5
Why are compression algorithms used in PDFs?,To reduce file size while maintaining document quality.,To reduce file size.,Compression algorithms are used in PDFs to reduce the file size.,0,0,0.5,0.5,0.5,0.375,4,4
What is the document catalog?,The root object that defines the structure of the PDF document.,"The document catalog is an object in a PDF file that is identified by an object number and generation number, and is part of the body of a PDF, which contains objects that define the document's content and structure.","The document catalog is the PDF’s root object, which the trailer points to.",0,0,0.778,0.556,2.545,0.182,5,5
What is metadata in a PDF?,"Information about the document, such as the author, title, subject, and creation date.",Not found in document.,Not found in document.,0,0,0.083,0.083,0.692,0.692,1,1
How does PDF support document security?,"Using encryption, passwords, permissions, and digital signatures.","PDF supports document security through features such as encryption, digital signatures, and access controls, as mentioned in sections 5.1, 5.6, and the glossary, which defines ""Digital Signature"" as a cryptographic mechanism verifying the signer's identity and document integrity.","PDF provides security through built‑in encryption (introduced in PDF 1.1, enhanced with AES in PDF 1.6 and further improved in PDF 2.0) and support for digital signatures (available from PDF 1.3 onward).",0,0,0.571,0.571,4.429,3.571,5,4
