question,expected_answer,model_a_answer,model_b_answer,a_exact_match,b_exact_match,a_keyword_match,b_keyword_match,a_length_difference,b_length_difference,a_llm_judge,b_llm_judge
What is the purpose of this leave policy?,"To ensure fairness, transparency, and balance between work and personal life.","The purpose of this leave policy is to ensure fairness, transparency, and balance between work and personal life.","To ensure fairness, transparency, and work‑life balance by supporting well‑rested, engaged employees.",0,0,1.0,0.8,0.6363636363636364,0.09090909090909091,5,5
Who does the leave policy apply to?,All individuals working in a full-time capacity at Emumba.,All individuals working in full-time capacity at Emumba.,It applies to all individuals working full‑time at Emumba.,0,0,0.9,0.7,0.1111111111111111,0.0,5,5
How many PTO days are provided annually?,15 working days per year.,15 working days/year,15 working days per year.,0,1,0.8,1.0,0.4,0.0,5,5
How many sick leave days are provided annually?,5 working days per year.,5 working days/year,5 working days per year.,0,1,0.8,1.0,0.4,0.0,5,5
What is the purpose of PTO?,"Vacation, personal time, and recharge.","The purpose of PTO (Paid Time Off) is for vacation, personal time, and to recharge.","To provide vacation, personal time, and recharge.",0,0,1.0,1.0,2.0,0.4,5,5
How many maternity leave days are allowed for a normal birth?,60 working days.,60 working days,60 working days.,0,1,1.0,1.0,0.0,0.0,5,5
How many maternity leave days are allowed for premature birth or medical complications?,70 working days.,70 working days,70 working days.,0,1,1.0,1.0,0.0,0.0,5,5
How many days are granted for pregnancy loss?,10 working days.,10-20 working days,10 working days (up to 20 working days for complicated cases),0,0,1.0,1.0,0.0,2.6666666666666665,2,5
How many days are granted for complicated pregnancy loss?,20 working days.,20 working days,20 working days.,0,1,1.0,1.0,0.0,0.0,5,5
How many paternity leave days are allowed?,5 working days.,5 working days (10 days for premature birth or medical complications),5 working days (standard); up to 10 working days for premature birth or medical complications.,0,0,1.0,1.0,2.6666666666666665,4.0,5,4
What is the paternity leave entitlement for premature birth or medical complications?,10 working days.,10 working days,10 working days.,0,1,1.0,1.0,0.0,0.0,5,5
What is Special Occasion Leave entitlement?,10 working days once every 2 years.,10 working days (once every 2 years),10 working days (available once every 2 years).,0,0,1.0,1.0,0.0,0.14285714285714285,5,5
For what events can Special Occasion Leave be used?,Own marriage or religious pilgrimage (Hajj/Umrah).,Own marriage or religious pilgrimage (Hajj/Umrah),Special Occasion Leave can be taken for your own marriage or a religious pilgrimage (Hajj/Umrah).,0,0,1.0,1.0,0.0,1.5,5,5
How much notice is required for short leaves?,At least 1 week in advance.,At least 1 week in advance.,At least 1 week in advance.,1,0,1.0,1.0,0.0,0.0,5,5
How much notice is required for leaves of 5 or more days?,At least 2 months in advance.,2 months,At least 2 months’ notice.,0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,4,5
What support is available after maternity leave?,"Flexible hours, remote work, daycare, wellness coach, and counselor.","Flexible working hours, remote work options, onsite daycare, access to a wellness coach and licensed counselor.","Flexible working hours, remote‑work options, onsite daycare, and access to a wellness coach and licensed counselor.",0,0,1.0,1.0,0.7777777777777778,0.7777777777777778,5,5
Can prenatal and postnatal expenses be claimed?,"Yes, through Emumba's IPD and OPD policies.",Yes.,"Yes, prenatal and postnatal expenses can be claimed.",0,0,0.125,0.25,0.8571428571428571,0.14285714285714285,3,4
When should paternity leave be planned?,At least 2 months in advance.,At least 2 months in advance.,Inform your manager at least 2 months in advance (earlier is better).,1,0,1.0,1.0,0.0,1.0,5,5
How often can Special Occasion Leave be taken?,Once every two years.,Once every 2 years.,Once every two years.,0,1,0.75,1.0,0.0,0.0,5,5
What approval is required for leaves longer than 10 working days?,Approval at least 2 months in advance.,Mandatory approval at least 2 months in advance.,Approval must be obtained at least 2 months in advance.,0,0,1.0,1.0,0.14285714285714285,0.42857142857142855,5,5
What is the maximum combined duration of Special Occasion Leave and PTO?,15 days total.,15 days,15 working days.,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,5,5
Can employees take leave during their notice period?,"No, leave cannot be taken during the notice period.",No,"No, employees cannot take leave during their notice period.",0,0,0.1111111111111111,0.6666666666666666,0.8888888888888888,0.0,5,5
Which system is used to apply for leave?,BambooHR Time Off Request Module.,BambooHR's Time Off Request Module.,BambooHR’s Time Off Request Module.,0,0,1.0,1.0,0.0,0.0,5,5
What should employees do if leave is not approved within 48 hours?,Follow up with the manager.,Follow up.,"If it isn’t approved within 48 hours, employees should follow up.",0,0,0.4,0.4,0.6,1.2,4,5
What should employees do if leave remains unapproved after 10 working days?,Contact HR.,Ping HR to bring them in the loop.,Ping HR to bring them into the loop.,0,0,0.5,0.5,3.0,3.0,5,5
