question,expected_answer,llm_answer,rag_answer,llm_exact_match,rag_exact_match,llm_keyword_match,rag_keyword_match,llm_length_difference,rag_length_difference,llm_judge,rag_judge
What is the purpose of this leave policy?,"To ensure fairness, transparency, and balance between work and personal life.","The purpose of this leave policy is to provide employees with time off for rest, relaxation, and personal activities, while also ensuring that the organization's operations continue to run smoothly.","The purpose of Emumba's leave policy is to ensure fairness, transparency, and balance between work and personal life. It aims to enable managers to plan, communicate, and thrive together, rather than restrict, by providing flexibility anchored in responsibility.",0,0,0.3,1.0,1.727,2.455,4,5
Who does the leave policy apply to?,All individuals working in a full-time capacity at Emumba.,The leave policy typically applies to all employees of the organization.,The leave policy applies to all individuals working in full-time capacity at Emumba. It outlines the guidelines for these full-time employees.,0,0,0.1,0.9,0.222,1.333,4,5
How many PTO days are provided annually?,15 working days per year.,"Typically, 10-15 PTO (Paid Time Off) days are provided annually, but this can vary depending on the company and its policies.","15 working days of Paid Time Off (PTO) are provided annually. This can be used for vacation, personal time, or to recharge.",0,0,0.4,0.6,3.2,3.4,4,5
How many sick leave days are provided annually?,5 working days per year.,"Typically, 10-12 sick leave days are provided annually, but this may vary depending on the organization or company's policies.",5 working days per year are provided for sick leave. This can be used for personal illness or caregiving for loved ones.,0,0,0.2,1.0,2.8,3.4,2,5
What is the purpose of PTO?,"Vacation, personal time, and recharge.","The purpose of PTO (Paid Time Off) is to provide employees with paid leave for vacations, sick days, personal days, and other absences, allowing them to recharge and balance their work and personal life.","PTO (Paid Time Off) is essential for well-being, allowing employees to rest, recharge, and return with renewed energy, benefiting both themselves and their team. It provides an opportunity to take breaks, clear the mind, boost creativity, and improve overall health.",0,0,0.8,0.6,5.8,7.0,5,5
How many maternity leave days are allowed for a normal birth?,60 working days.,"Typically, 84 days (or 12 weeks, with some variation by country and employer) of maternity leave are allowed for a normal birth, but this can vary.",Not found in context.,0,0,0.333,0.0,7.667,0.333,2,1
How many maternity leave days are allowed for premature birth or medical complications?,70 working days.,"In the United States, the Family and Medical Leave Act (FMLA) allows for up to 12 weeks of unpaid maternity leave. However, for premature birth or medical complications, some employers may provide additional leave days, typically ranging from 6-12 weeks, depending on the company's policies and the mother's health needs.","For premature birth or medical complications, 70 working days of maternity leave are allowed. This is to provide additional time for care and recovery when the newborn requires medical attention.",0,0,0.333,1.0,15.667,9.0,2,5
How many days are granted for pregnancy loss?,10 working days.,"In the United States, the Pregnancy Loss and Infant Death Support and Care Act allows for 2 weeks (10 working days) of bereavement leave for pregnancy loss.","For pregnancy loss, 10 working days are granted to allow time for physical, emotional, and mental recovery. However, in special circumstances or complications, up to 20 working days may be granted.",0,0,1.0,1.0,8.0,9.333,5,4
How many days are granted for complicated pregnancy loss?,20 working days.,"In the United States, under the Family and Medical Leave Act (FMLA), 12 weeks of unpaid leave are granted for a serious health condition, including complications from pregnancy, but not specifically for pregnancy loss. However, the Pregnancy Loss Leave policy in some companies may provide 2-4 weeks of paid leave for pregnancy loss, but this can vary depending on the company's policies.","20 working days are granted for Pregnancy Loss (Complicated) to allow time for physical, emotional, or mental recovery in special circumstances or complications.",0,0,0.0,1.0,19.667,6.667,2,5
How many paternity leave days are allowed?,5 working days.,"The number of paternity leave days allowed varies by country and company, but it's typically around 1-2 weeks (5-14 days). In the United States, for example, the Family and Medical Leave Act (FMLA) provides eligible employees with up to 12 weeks of unpaid leave, which can include paternity leave. However, some companies may offer paid paternity leave, ranging from a few days to several weeks.","10 working days of paternity leave are allowed, with an additional 10 working days available if the birth was complicated or due to medical concerns.",0,0,0.667,0.667,20.667,7.333,4,2
What is the paternity leave entitlement for premature birth or medical complications?,10 working days.,"For premature birth or medical complications, the paternity leave entitlement may be extended. In the UK, for example, fathers are entitled to take paternity leave from the date of birth, but if the baby is born prematurely or there are medical complications, they can take the leave from the date the baby is discharged from hospital, up to 56 days after the birth. However, this may vary depending on the country and employer's policies.","For premature birth or medical complications, the paternity leave entitlement is 10 working days to provide additional time for care and recovery. This allows the father to focus on what matters most during a challenging time.",0,0,0.333,1.0,23.667,11.0,2,5
What is Special Occasion Leave entitlement?,10 working days once every 2 years.,"Special Occasion Leave entitlement typically refers to a type of leave allowed for specific personal or family events, such as weddings, funerals, or birthdays, usually with a limited number of paid days off.","Special Occasion Leave entitlement is 10 exclusive working days off. It is available once every two years to honor milestones such as marriage, Umrah, or Hajj.",0,0,0.143,0.857,3.714,2.714,2,5
For what events can Special Occasion Leave be used?,Own marriage or religious pilgrimage (Hajj/Umrah).,"Special Occasion Leave can be used for events such as weddings, graduations, birthdays, and other significant personal or family events.",Special Occasion Leave can be used for events such as your own marriage or a religious pilgrimage of Umrah or Hajj. It is available once every two years to celebrate personal milestones.,0,0,0.143,1.0,2.333,4.333,2,5
